#Attributes-#Values,ExecutionTime(ms)
_U50V50,95
_U50V50,15
_U50V50,9
_U50V50,12
_U50V50,9
_U50V50,51
_U50V50,13
_U50V50,133
_U50V50,17
_U50V50,10
_U50V50,11
_U50V50,8
_U50V50,12
_U50V50,9
_U50V50,9
_U50V50,9
_U50V50,9
_U50V50,8
_U50V50,9
_U50V50,9
_U50V50,10
_U50V50,14
_U50V50,8
_U50V50,9
_U50V50,11
_U50V50,8
_U50V50,7
_U50V50,9
_U50V50,7
_U50V50,10
_U50V50,5
_U50V50,6
_U50V50,6
_U50V50,9
_U50V50,7
_U50V50,6
_U50V50,7
_U50V50,6
_U50V50,6
_U50V50,7
_U50V50,6
_U50V50,5
_U50V50,4
_U50V50,7
_U50V50,7
_U50V50,4
_U50V50,4
_U50V50,5
_U50V50,4
_U50V50,4
_U50V50,5
_U50V50,5
_U50V50,5
_U50V50,7
_U50V50,7
_U50V50,5
_U50V50,6
_U50V50,6
_U50V50,4
_U50V50,5
_U50V50,5
_U50V50,4
_U50V50,4
_U50V50,5
_U50V50,4
_U50V50,5
_U50V50,4
_U50V50,5
_U50V50,5
_U50V50,4
_U50V50,4
_U50V50,5
_U50V50,4
_U50V50,4
_U50V50,5
_U50V50,4
_U50V50,5
_U50V50,4
_U50V50,4
_U50V50,4
_U50V50,5
_U50V50,4
_U50V50,5
_U50V50,5
_U50V50,5
_U50V50,5
_U50V50,4
_U50V50,4
_U50V50,4
_U50V50,4
_U50V50,4
_U50V50,5
_U50V50,5
_U50V50,4
_U50V50,4
_U50V50,4
_U50V50,5
_U50V50,4
_U50V50,4
_U50V50,5
_U50V50,4
_U50V50,4
_U50V50,5
_U50V50,5
_U50V50,5
_U50V50,4
_U50V50,4
_U50V50,5
_U50V50,4
_U50V50,4
_U50V50,5
_U50V50,4
_U50V50,4
_U50V50,5
_U50V50,6
_U50V50,4
_U50V50,4
_U50V50,4
_U50V50,4
_U50V50,5
_U50V50,4
_U50V50,5
_U50V50,5
_U50V50,5
_U50V50,5
_U50V50,5
_U50V50,4
_U50V50,6
_U50V50,4
_U50V50,4
_U50V50,5
_U50V50,4
_U50V50,4
_U50V50,5
_U50V50,4
_U50V50,4
_U50V50,7
_U50V50,6
_U50V50,5
_U50V50,4
_U50V50,4
_U50V50,5
_U50V50,5
_U50V50,4
_U50V50,4
_U50V50,4
_U50V50,4
_U50V50,5
_U50V50,4
_U50V50,4
